FSE.bp.p_ctg.gfa_ptg000001l     scaffold_1
FSE.bp.p_ctg.gfa_ptg000002l     scaffold_2
FSE.bp.p_ctg.gfa_ptg000003l     scaffold_3
FSE.bp.p_ctg.gfa_ptg000004l     scaffold_4
FSE.bp.p_ctg.gfa_ptg000005l     scaffold_5
FSE.bp.p_ctg.gfa_ptg000006l     scaffold_6
FSE.bp.p_ctg.gfa_ptg000007l     scaffold_7
FSE.bp.p_ctg.gfa_ptg000008l     scaffold_8
FSE.bp.p_ctg.gfa_ptg000009l     scaffold_9
FSE.bp.p_ctg.gfa_ptg000010l     scaffold_10
FSE.bp.p_ctg.gfa_ptg000011l     scaffold_11
FSE.bp.p_ctg.gfa_ptg000012l     scaffold_12
FSE.bp.p_ctg.gfa_ptg000013l     scaffold_13
FSE.bp.p_ctg.gfa_ptg000014l     scaffold_14
FSE.bp.p_ctg.gfa_ptg000015l     scaffold_15
FSE.bp.p_ctg.gfa_ptg000016l     scaffold_16
FSE.bp.p_ctg.gfa_ptg000017l     scaffold_17
FSE.bp.p_ctg.gfa_ptg000018l     scaffold_18
FSE.bp.p_ctg.gfa_ptg000019c     scaffold_19
FSE.bp.p_ctg.gfa_ptg000020l     scaffold_20
FSE.bp.p_ctg.gfa_ptg000021l     scaffold_21
FSE.bp.p_ctg.gfa_ptg000022l     scaffold_22
FSE.bp.p_ctg.gfa_ptg000023l     scaffold_23
FSE.bp.p_ctg.gfa_ptg000024l     scaffold_24
FSE.bp.p_ctg.gfa_ptg000025l     scaffold_25
FSE.bp.p_ctg.gfa_ptg000026l     scaffold_26
FSE.bp.p_ctg.gfa_ptg000027l     scaffold_27
FSE.bp.p_ctg.gfa_ptg000028l     scaffold_28
FSE.bp.p_ctg.gfa_ptg000029l     scaffold_29
FSE.bp.p_ctg.gfa_ptg000030l     scaffold_30
FSE.bp.p_ctg.gfa_ptg000031l     scaffold_31
FSE.bp.p_ctg.gfa_ptg000032l     scaffold_32
FSE.bp.p_ctg.gfa_ptg000033l     scaffold_33
FSE.bp.p_ctg.gfa_ptg000034l     scaffold_34
FSE.bp.p_ctg.gfa_ptg000035l     scaffold_35
FSE.bp.p_ctg.gfa_ptg000036l     scaffold_36
FSE.bp.p_ctg.gfa_ptg000037l     scaffold_37
